FLASH,DESS,FISP,PSIF,Class
149,66,67,66,CLU0
129,90,86,106,CLU0
101,83,146,81,CLU0
28,79,158,40,CLU0
7,53,155,67,CLU0
0,36,177,56,CLU0
2,22,115,85,CLU0
16,14,55,94,CLU0
11,12,23,57,CLU0
6,12,24,7,CLU0
9,15,26,11,CLU0
3,5,42,23,CLU0
4,11,34,18,CLU0
6,22,34,22,CLU0
9,16,27,15,CLU0
4,15,28,7,CLU0
6,15,27,6,CLU0
20,15,38,9,CLU0
31,7,5,14,CLU0
86,27,16,16,CLU0
118,59,10,5,CLU0
118,63,7,27,CLU0
95,68,106,9,CLU0
78,82,162,68,CLU0
80,88,123,90,CLU0
81,82,130,43,CLU0
67,57,153,51,CLU0
38,47,129,32,CLU0
89,36,103,39,CLU0
119,20,69,99,CLU0
134,44,32,75,CLU0
146,68,33,117,CLU0
133,88,92,80,CLU0
79,93,145,19,CLU0
22,64,145,37,CLU0
10,52,170,50,CLU0
4,32,164,66,CLU0
16,25,109,90,CLU0
12,16,47,106,CLU0
7,14,38,44,CLU0
1,13,19,20,CLU0
4,7,37,36,CLU0
6,8,27,20,CLU0
6,23,33,26,CLU0
9,12,25,15,CLU0
11,16,18,12,CLU0
11,13,21,5,CLU0
13,19,20,34,CLU0
6,17,28,13,CLU0
12,29,32,2,CLU0
2,25,22,12,CLU0
13,20,21,17,CLU0
1,8,24,4,CLU0
24,8,37,17,CLU0
35,19,42,13,CLU0
58,9,13,18,CLU0
97,23,12,20,CLU0
115,56,3,2,CLU0
85,67,9,34,CLU0
63,66,110,15,CLU0
59,73,127,67,CLU0
46,68,97,54,CLU0
46,67,99,30,CLU0
38,45,112,25,CLU0
26,59,87,65,CLU0
58,55,53,72,CLU0
90,46,71,81,CLU0
120,44,62,90,CLU0
141,45,51,127,CLU0
137,84,71,79,CLU0
118,95,116,13,CLU0
67,70,157,10,CLU0
1,62,154,29,CLU0
13,42,171,52,CLU0
2,31,170,64,CLU0
4,26,76,117,CLU0
1,24,52,99,CLU0
12,16,21,14,CLU0
8,10,27,34,CLU0
6,7,15,15,CLU0
5,14,21,21,CLU0
6,15,22,14,CLU0
10,14,9,22,CLU0
6,9,13,14,CLU0
13,14,24,28,CLU0
11,16,15,14,CLU0
13,21,26,3,CLU0
5,21,33,12,CLU0
7,18,24,9,CLU0
3,11,32,4,CLU0
8,14,29,16,CLU0
15,14,16,19,CLU0
2,12,34,44,CLU0
21,14,39,34,CLU0
24,20,26,23,CLU0
84,11,20,15,CLU0
107,19,20,14,CLU0
98,51,7,10,CLU0
53,69,17,31,CLU0
51,50,78,20,CLU0
52,47,95,52,CLU0
32,37,68,27,CLU0
26,43,65,28,CLU0
26,41,73,52,CLU0
35,47,53,97,CLU0
41,43,9,81,CLU0
55,47,65,66,CLU0
99,61,54,103,CLU0
119,33,39,129,CLU0
126,65,62,82,CLU0
128,83,78,29,CLU0
108,85,141,15,CLU0
38,61,150,17,CLU0
10,44,155,36,CLU0
14,37,188,56,CLU0
1,16,121,89,CLU0
4,28,39,124,CLU0
14,18,30,45,CLU0
8,10,20,32,CLU0
8,13,4,13,CLU0
11,6,11,13,CLU0
4,16,26,7,CLU0
4,13,9,19,CLU0
5,11,5,19,CLU0
1,8,26,22,CLU0
7,14,7,9,CLU0
10,13,17,4,CLU0
6,18,30,12,CLU0
1,19,24,2,CLU0
6,14,31,4,CLU0
5,15,27,8,CLU0
10,16,24,23,CLU0
10,17,34,21,CLU0
4,20,29,13,CLU0
2,9,34,3,CLU0
4,16,44,57,CLU0
16,19,20,42,CLU0
27,19,15,20,CLU0
85,19,35,5,CLU0
88,13,31,1,CLU0
62,46,22,19,CLU0
30,60,24,24,CLU0
34,35,42,15,CLU0
41,26,69,32,CLU0
35,31,36,19,CLU0
17,28,39,31,CLU0
13,46,28,64,CLU0
30,33,41,84,CLU0
42,34,13,88,CLU0
36,36,28,62,CLU0
46,76,24,107,CLU0
100,46,42,119,CLU0
115,44,48,95,CLU0
117,66,57,71,CLU0
128,93,78,46,CLU0
86,60,137,41,CLU0
29,53,147,7,CLU0
11,40,170,58,CLU0
14,31,160,72,CLU0
1,22,89,99,CLU0
10,16,38,85,CLU0
7,17,22,46,CLU0
12,15,13,20,CLU0
16,7,10,17,CLU0
7,12,22,8,CLU0
2,14,22,5,CLU0
8,13,11,19,CLU0
9,5,21,16,CLU0
6,13,9,5,CLU0
9,10,14,12,CLU0
6,15,28,9,CLU0
6,18,26,5,CLU0
6,18,24,1,CLU0
8,13,22,2,CLU0
2,15,26,15,CLU0
0,14,31,24,CLU0
4,23,30,4,CLU0
3,7,36,6,CLU0
5,15,27,5,CLU0
6,13,30,2,CLU0
12,14,20,8,CLU0
6,16,17,14,CLU0
11,18,17,13,CLU0
4,10,32,5,CLU0
4,22,20,9,CLU0
9,21,18,3,CLU0
21,9,6,34,CLU0
13,12,26,48,CLU0
8,20,39,58,CLU0
11,16,7,37,CLU0
54,10,31,18,CLU0
69,23,42,14,CLU0
49,14,32,7,CLU0
27,41,33,20,CLU0
10,46,28,14,CLU0
9,27,51,9,CLU0
23,15,37,25,CLU0
39,34,7,28,CLU0
33,24,10,50,CLU0
45,49,12,61,CLU0
38,34,38,75,CLU0
47,43,30,96,CLU0
46,36,41,68,CLU0
37,70,45,100,CLU0
79,60,63,107,CLU0
112,34,77,117,CLU0
102,58,53,96,CLU0
127,80,30,70,CLU0
114,72,104,49,CLU0
86,66,151,27,CLU0
22,55,157,43,CLU0
14,47,168,94,CLU0
16,35,159,55,CLU0
2,10,80,91,CLU0
4,17,36,36,CLU0
14,18,27,20,CLU0
16,14,25,25,CLU0
9,10,26,24,CLU0
3,17,34,16,CLU0
8,7,25,17,CLU0
8,5,10,8,CLU0
9,13,15,13,CLU0
4,9,21,15,CLU0
6,9,30,3,CLU0
10,12,28,2,CLU0
11,18,20,5,CLU0
11,9,20,11,CLU0
5,12,19,2,CLU0
5,10,18,19,CLU0
5,18,26,10,CLU0
1,9,34,9,CLU0
2,11,29,6,CLU0
7,10,31,5,CLU0
4,8,20,5,CLU0
3,16,13,4,CLU0
4,18,14,9,CLU0
12,16,28,9,CLU0
10,27,18,6,CLU0
8,17,12,9,CLU0
12,17,18,8,CLU0
2,14,14,20,CLU0
18,15,15,12,CLU0
10,12,30,29,CLU0
7,21,33,40,CLU0
7,21,22,24,CLU0
52,13,33,19,CLU0
54,18,34,14,CLU0
24,15,26,8,CLU0
11,27,31,28,CLU0
9,35,29,18,CLU0
16,16,54,21,CLU0
1,4,28,35,CLU0
29,21,19,35,CLU0
43,19,20,68,CLU0
54,43,28,61,CLU0
55,43,24,73,CLU0
56,63,45,93,CLU0
57,49,61,82,CLU0
72,59,63,86,CLU0
43,60,88,107,CLU0
109,52,90,130,CLU0
99,52,73,110,CLU0
112,66,15,69,CLU0
110,82,60,82,CLU0
124,69,154,50,CLU0
67,75,160,33,CLU0
23,51,150,107,CLU0
23,51,177,51,CLU0
17,9,126,72,CLU0
4,12,39,49,CLU0
4,17,16,49,CLU0
7,13,32,43,CLU0
15,15,27,20,CLU0
0,15,29,29,CLU0
10,5,30,16,CLU0
1,7,13,4,CLU0
17,11,24,11,CLU0
13,7,30,9,CLU0
6,4,27,3,CLU0
10,4,27,5,CLU0
11,12,22,6,CLU0
5,11,24,12,CLU0
11,10,20,6,CLU0
9,7,20,12,CLU0
14,10,23,9,CLU0
12,11,26,7,CLU0
14,6,22,9,CLU0
19,10,27,6,CLU0
8,8,29,13,CLU0
9,10,20,1,CLU0
6,6,25,8,CLU0
8,17,29,14,CLU0
14,30,21,3,CLU0
8,15,12,20,CLU0
10,13,17,5,CLU0
7,12,15,9,CLU0
9,9,11,10,CLU0
9,5,7,9,CLU0
5,10,4,16,CLU0
7,10,19,33,CLU0
0,21,17,11,CLU0
9,11,21,36,CLU0
16,10,18,16,CLU0
3,10,30,19,CLU0
6,22,27,9,CLU0
